sound.files,selec,log(duration),log(meanfreq),log(sd),log(freq.median),log(freq.Q25),log(freq.Q75),sqrt(time.median),cubroot(time.Q25),log(time.Q75),log(skew),(sp.ent)^2,(time.ent)^2,sqrt(sfm),log(meandom),log10(mindom),log(maxdom),log(modindx),log(startdom),log(enddom),dfslope2,log(meanpeakf)
sl_20Apr2019_flyer_OldestDaughterFishingAndChilling.wav,7,-0.241201639,-3.030140269,-0.227508909,-2.539519993,-2.308143865,-2.868156589,-0.284822492,-0.092423813,-0.111111591,-0.245580733,-1.10024383,0.488206318,-1.168342476,-2.011809863,-1.565514893,-2.057806461,0.709810621,-1.516987657,-1.46860895,-0.015646267,-1.715346082
EL_29_03_19_Kallang13.wav,7,0.030394181,-2.981072708,0.185585055,-2.902269486,-2.035878395,-3.152798918,0.577407257,0.784525631,0.232999773,2.049924895,-2.791631152,0.279875653,-2.121910311,-2.048415952,-1.199296355,-2.057806461,-0.983289693,-1.280632414,-1.718591707,-0.286915757,-2.20860459
XF_09032019_gbtb5.wav,2,0.400422386,-2.947186367,-0.339429954,-2.630186384,-2.067787704,-2.956501515,0.055968243,0.725563426,0.105916954,0.00059603,-1.243907451,1.016506529,-1.369818199,-2.205189756,-1.404242672,-2.277459495,1.540233864,-2.202886704,-1.233515191,0.451131617,-2.32619285
EL_29_03_19_Kallang13.wav,2,-0.365838502,-2.945603322,0.060561261,-2.921476865,-2.052558217,-3.157307201,-0.097772147,0.533833276,-0.326404333,2.223263776,-2.687674848,0.043461792,-1.396663399,-2.196868168,-1.249510343,-2.166391894,-0.983289693,-1.373568861,-1.770545203,-0.34245803,-2.20860459
XF_09032019_gbtb5.wav,7,0.231825045,-2.882839816,-0.19343633,-2.59252453,-1.938297999,-2.964464518,0.109902055,0.755403065,0.170558166,-0.025522903,-1.326207397,0.80174387,-1.377692787,-2.0568281,-1.510996709,-2.057806461,-0.788087228,-2.319222484,-1.05502565,0.637398575,-2.037937707
YN_20Jun2019_GardensByTheBay_28.wav,3,0.022105891,-2.864461884,0.405498052,-2.832667966,-2.255584981,-3.223229138,-0.314227479,0.4152523,0.22426509,0.656689907,-1.184904366,0.713573195,-0.622173354,-2.19427054,-1.100808103,-2.626759252,-0.15286645,-1.819574379,-1.616691632,0.088002878,-2.037937707
hzb_080419_riverside_SarahCounting.wav,8,-1.183955396,-2.842229574,-1.387595677,-2.324070799,-1.656965953,-2.740433505,-0.942267849,-2.108215571,-0.729392759,0.254596115,-1.698771331,-2.033990512,-1.824936137,-1.943630554,-0.911143831,-2.391125402,-0.15286645,-1.615423801,-1.420457027,0.063238245,-1.767488204
XF_09032019_gbtb5.wav,8,0.42693384,-2.826313806,-0.132653815,-2.494184015,-1.96472772,-2.823674755,0.483894059,0.738419677,0.450940479,0.25226813,-1.352531461,0.961787508,-1.469750169,-2.015243618,-1.510996709,-2.11179586,-0.878237142,-2.319222484,-1.143261919,0.540810182,-1.463559345
XF_09032019_gbtb5.wav,3,0.276453122,-2.803075276,-0.271459379,-2.497404433,-1.972913378,-2.845357214,0.149670775,0.412520084,-0.157458075,0.125918387,-1.201963892,0.93157315,-1.55006979,-1.983287542,-1.30039387,-2.11179586,0.220541903,-2.08971692,-1.09889731,0.498471518,-2.267004107
XF_09032019_gbtb5.wav,5,-0.531247513,-2.796584278,-0.302039752,-2.398390901,-1.836825971,-2.844315058,-0.504240577,0.08780094,-0.63344218,-0.004246183,-1.638469284,-0.413529547,-1.50541542,-1.967386579,-1.351965032,-2.057806461,-0.035801691,-2.145916869,-1.143261919,0.693961566,-1.767488204
XF_09032019_gbtb5.wav,6,0.366594527,-2.777158965,-0.00190388,-2.46551958,-1.93576985,-2.856471171,0.654087979,0.822059928,0.312556079,0.196733959,-1.400171304,0.794619379,-1.396226561,-2.145172997,-1.510996709,-2.11179586,-0.263600213,-2.319222484,-1.09889731,0.578399596,-1.562543927
XF_09032019_gbtb5.wav,9,0.320440358,-2.745969902,0.104735098,-2.566207431,-1.953075618,-2.980517956,0.607039968,0.799059202,0.263926398,0.070179952,-1.378344018,0.731291596,-1.273947606,-2.228146562,-1.510996709,-2.277459495,0.677556793,-2.319222484,-1.420457027,0.415372704,-2.037937707
